permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,35.63,0.030067,887329.0,72979.0,2022-06-17
92309,MAIN,36.56,0.028207,493778.0,72979.0,2022-06-21
92309,MAIN,37.25,0.018873,454067.0,72979.0,2022-06-22
92309,MAIN,37.35,0.002685,271502.0,72979.0,2022-06-23
92309,MAIN,38.43,0.028916,360392.0,72979.0,2022-06-24
92309,MAIN,39.02,0.015353,427421.0,72979.0,2022-06-27
92309,MAIN,38.63,-0.009995,526855.0,72979.0,2022-06-28
92309,MAIN,38.55,-0.002071,462248.0,72979.0,2022-06-29
92309,MAIN,38.53,-0.000519,664190.0,72979.0,2022-06-30
92309,MAIN,39.48,0.030236,387589.0,72979.0,2022-07-01
92309,MAIN,40.22,0.018744,555755.0,72979.0,2022-07-05
92309,MAIN,39.31,-0.022626,515962.0,72979.0,2022-07-06
92309,MAIN,39.88,0.0145,260180.0,72979.0,2022-07-07
92309,MAIN,40.49,0.015296,288258.0,72979.0,2022-07-08
92309,MAIN,40.44,-0.001235,320414.0,72979.0,2022-07-11
92309,MAIN,40.79,0.008655,367748.0,72979.0,2022-07-12
92309,MAIN,40.78,-0.000245,461140.0,72979.0,2022-07-13
92309,MAIN,40.31,-0.011525,355033.0,72979.0,2022-07-14
92309,MAIN,40.97,0.016373,327396.0,72979.0,2022-07-15
92309,MAIN,41.47,0.012204,342200.0,72979.0,2022-07-18
92309,MAIN,42.41,0.022667,283708.0,72979.0,2022-07-19
92309,MAIN,42.27,-0.003301,234790.0,72979.0,2022-07-20
92309,MAIN,42.98,0.016797,243929.0,72979.0,2022-07-21
92309,MAIN,42.39,-0.013727,176119.0,72979.0,2022-07-22
92309,MAIN,42.42,0.000708,172788.0,72979.0,2022-07-25
92309,MAIN,43.34,0.021688,295180.0,72979.0,2022-07-26
92309,MAIN,43.91,0.013152,335196.0,72979.0,2022-07-27
92309,MAIN,44.62,0.016169,273778.0,72979.0,2022-07-28
92309,MAIN,45.02,0.008965,381250.0,72979.0,2022-07-29
92309,MAIN,44.49,-0.006997,268500.0,72979.0,2022-08-01
92309,MAIN,44.32,-0.003821,258900.0,72979.0,2022-08-02
92309,MAIN,44.74,0.009477,260826.0,72979.0,2022-08-03
92309,MAIN,44.38,-0.008047,244268.0,72979.0,2022-08-04
92309,MAIN,45.28,0.020279,426420.0,72979.0,2022-08-05
92309,MAIN,44.5,-0.017226,412656.0,72979.0,2022-08-08
92309,MAIN,44.32,-0.004045,266831.0,72979.0,2022-08-09
92309,MAIN,44.89,0.012861,298226.0,72979.0,2022-08-10
92309,MAIN,43.04,-0.041212,1576017.0,72979.0,2022-08-11
92309,MAIN,43.7,0.015335,406581.0,72979.0,2022-08-12
